,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
223,Men Maroon & White Printed Casual Shirt,4,6.7k Ratings,â‚¹441,(74% OFF),Long Sleeves,Regular Fit,Spread Collar
224,Highlander Navy Slim Fit Casual Shirt,4.1,4k Ratings,â‚¹389,(61% OFF),Long Sleeves,Regular Fit,Spread Collar
225,Men Classic Tartan Spread Collar Checked Casual Shirt,,,â‚¹989,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
226,Men Blue Slim Fit Striped Casual Shirt,4.3,954 Ratings,â‚¹377,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
227,Men Olive Green Slim Fit Roll-Up Sleeves Casual Shirt,4.3,3.6k Ratings,â‚¹543,(68% OFF),Long Sleeves,Slim Fit,Mandarin Collar
228,Men Spread Collar Vertical Striped Casual Shirt,3.9,41 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
229,Men Striped Pure Cotton Casual Shirt,4.2,398 Ratings,â‚¹639,(68% OFF),Long Sleeves,Regular Fit,Button-Down Collar
230,Men Olive Green Solid Slim Fit Casual Shirt,4.2,2.3k Ratings,â‚¹459,(77% OFF),Long Sleeves,Slim Fit,Mandarin Collar
231,Premium Button Down Collar Opaque Cotton Casual Shirt,,,MRPâ‚¹ 4590,,Long Sleeves,Regular Fit,Button-Down Collar
232,Men Grey Cotton Linen Solid Slim Fit Casual Shirt,3.9,27.4k Ratings,â‚¹553,(59% OFF),Long Sleeves,Slim Fit,Slim Collar
233,Men Blue And Coral Pink Slim Fit Checked Pure Cotton Casual Shirt,4,375 Ratings,â‚¹679,(66% OFF),Long Sleeves,Slim Fit,Spread Collar
234,Casual Men Striped Button-Down Collar Slim Fit Casual Shirt,,,MRPâ‚¹ 4990,,Long Sleeves,Slim Fit,Button-Down Collar
235,Slim Fit Long Sleeves Mandarin Collar Cotton Casual Shirt,4.3,211 Ratings,â‚¹569,(70% OFF),Long Sleeves,Slim Fit,Mandarin Collar
236,Men Black & Blue Slim Fit Checked Casual Shirt,4.1,3.9k Ratings,â‚¹379,(62% OFF),Long Sleeves,Slim Fit,Spread Collar
237,Men Opaque Casual Shirt,4.2,21 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Collarless
238,Men White Solid Casual Shirt,4.1,9k Ratings,â‚¹682,(61% OFF),Long Sleeves,Regular Fit,Mandarin Collar
239,Men Olive Green & White Slim Fit Striped Casual Shirt,4,1.4k Ratings,â‚¹643,(61% OFF),Long Sleeves,Slim Fit,Spread Collar
240,Printed Casual Shirt,2.5,11 Ratings,â‚¹2249,(50% OFF),Short Sleeves,Regular Fit,Cuban Collar
241,Men Black & White Slim Fit Tartan Checks Checked Casual Shirt,4.1,278 Ratings,â‚¹349,(80% OFF),Long Sleeves,Slim Fit,Spread Collar
242,Highlander Black Slim Fit Casual Shirt,4.3,13.7k Ratings,â‚¹419,(58% OFF),Long Sleeves,Slim Fit,Mandarin Collar
243,Men Cuban Collar Abstract Printed Casual Shirt,4,14 Ratings,â‚¹1079,(46% OFF),Short Sleeves,Regular Fit,Cuban Collar
244,Men Slim Fit Opaque Printed Casual Shirt,4.3,405 Ratings,â‚¹499,(75% OFF),Short Sleeves,Slim Fit,Spread Collar
245,Men Navy Blue Cotton Tartan Checked Casual Shirt,4.1,3.9k Ratings,â‚¹682,(61% OFF),Long Sleeves,Regular Fit,Spread Collar
246,Men Tartan Checks Opaque Checked Casual Shirt,4,66 Ratings,â‚¹971,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
247,Men Olive Green Printed Casual Shirt,4.4,554 Ratings,â‚¹554,(63% OFF),Long Sleeves,Regular Fit,Band Collar
248,Men Comfort Spread Collar Buffalo Checked Cotton Casual Shirt,,,â‚¹569,(70% OFF),Long Sleeves,Regular Fit,Spread Collar
249,Men Spread Collar Textured Relaxed Fit Casual Shirt,4.2,15 Ratings,â‚¹1187,(46% OFF),Long Sleeves,Relaxed Fit,Spread Collar
250,Men Classic Spread Collar Tartan Checked Cotton Casual Shirt,,,â‚¹911,(43% OFF),Long Sleeves,Regular Fit,Spread Collar
251,Men All Star Oxford Long-Sleeve Button Down Shirt,,,MRPâ‚¹ 3999,,Long Sleeves,Regular Fit,Spread Collar
252,Dusty Regular Fit Shirt,4.4,576 Ratings,â‚¹521,(71% OFF),Long Sleeves,Slim Fit,Spread Collar
253,Grey Classic Band Collar Cotton Casual Shirt,4.5,34 Ratings,â‚¹599,(70% OFF),Long Sleeves,Regular Fit,Band Collar
254,Men Windowpane Checks Opaque Checked Casual Shirt,2.8,16 Ratings,â‚¹1187,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
255,The Lifestyle Co Men Black Slim Fit Knitted Sustainable Casual Shirt,4.2,624 Ratings,â‚¹688,(47% OFF),Short Sleeves,Slim Fit,Spread Collar
256,Superhero Crinkle Effect Toggle Detail Shirt,,,â‚¹625,(Rs. 1774 OFF),Short Sleeves,Relaxed Fit,Cuban Collar
257,Men Spread Collar Textured Relaxed Fit Casual Shirt,4.1,14 Ratings,â‚¹1187,(46% OFF),Long Sleeves,Relaxed Fit,Spread Collar
258,Men Comfort Spread Collar Solid Casual Shirt,3.6,10 Ratings,â‚¹569,(70% OFF),Long Sleeves,Regular Fit,Spread Collar
259,Men Tartan Checks Opaque Checked Casual Shirt,3.9,794 Ratings,â‚¹367,(79% OFF),Long Sleeves,Regular Fit,Spread Collar
260,Premium Men Dobby Long Sleeve Cotton Shirt,,,â‚¹2872,(20% OFF),Long Sleeves,Regular Fit,Button-Down Collar
261,Black Striped Casual Shirt,4.1,3.7k Ratings,â‚¹557,(69% OFF),Long Sleeves,Regular Fit,Spread Collar
262,Men Coral Pink & Blue Checked Pure Cotton Casual Shirt,4.1,940 Ratings,â‚¹577,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
263,Checked Chest Pocket Detail Flannel Relaxed Fit Shirt,4.4,30 Ratings,â‚¹979,(65% OFF),Long Sleeves,Relaxed Fit,Spread Collar
264,Men Slim Fit Checked Casual Shirt,4.2,742 Ratings,â‚¹639,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
265,Slim Fit Spread Collar Cotton Casual Shirt,3.9,121 Ratings,â‚¹559,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
266,Men Navy Blue Cotton Opaque Denim Casual Shirt,4.2,2.5k Ratings,â‚¹659,(67% OFF),Long Sleeves,Regular Fit,Mandarin Collar
267,Men Light Blue Pure Cotton Casual Shirt,4.2,2.8k Ratings,â‚¹681,(69% OFF),Long Sleeves,Slim Fit,Spread Collar
268,Men Black Slim Fit Printed Casual Shirt,4.1,317 Ratings,â‚¹311,(74% OFF),Short Sleeves,Slim Fit,Spread Collar
269,Spread Collar Slim Fit Casual Shirt,3.4,590 Ratings,â‚¹430,(Rs. 1569 OFF),Long Sleeves,Slim Fit,Spread Collar
